ID1,ID2,Score,Match_Type
R001,R002,100,DUPLICATE
R001,R003,100,DUPLICATE
R001,R004,99,DUPLICATE
R001,R005,100,DUPLICATE
R001,R006,100,DUPLICATE
R001,R007,100,DUPLICATE
R001,R008,57,DIFFERENT
R001,R009,57,DIFFERENT
R001,R010,57,DIFFERENT
R001,R011,57,DIFFERENT
R001,R012,57,DIFFERENT
R001,R013,58,DIFFERENT
R001,R014,57,DIFFERENT
R001,R015,66,DIFFERENT
R001,R016,66,DIFFERENT
R001,R017,66,DIFFERENT
R001,R018,66,DIFFERENT
R001,R019,66,DIFFERENT
R001,R020,66,DIFFERENT
R001,R021,66,DIFFERENT
R001,R022,36,DIFFERENT
R001,R023,37,DIFFERENT
R001,R024,36,DIFFERENT
R001,R025,36,DIFFERENT
R001,R026,33,DIFFERENT
R001,R027,36,DIFFERENT
R001,R028,36,DIFFERENT
R001,R029,41,DIFFERENT
R001,R030,40,DIFFERENT
R001,R031,40,DIFFERENT
R001,R032,40,DIFFERENT
R001,R033,40,DIFFERENT
R001,R034,40,DIFFERENT
R001,R035,40,DIFFERENT
R001,R036,23,DIFFERENT
R001,R037,23,DIFFERENT
R001,R038,28,DIFFERENT
R001,R039,23,DIFFERENT
R001,R040,23,DIFFERENT
R001,R041,23,DIFFERENT
R001,R042,23,DIFFERENT
R001,R043,46,DIFFERENT
R001,R044,43,DIFFERENT
R001,R045,46,DIFFERENT
R001,R046,46,DIFFERENT
R001,R047,46,DIFFERENT
R001,R048,46,DIFFERENT
R001,R049,46,DIFFERENT
R001,R050,42,DIFFERENT
R001,R051,42,DIFFERENT
R001,R052,42,DIFFERENT
R001,R053,42,DIFFERENT
R001,R054,42,DIFFERENT
R001,R055,42,DIFFERENT
R001,R056,42,DIFFERENT
R001,R057,70,DIFFERENT
R001,R058,70,DIFFERENT
R001,R059,70,DIFFERENT
R001,R060,70,DIFFERENT
R001,R061,61,DIFFERENT
R001,R062,70,DIFFERENT
R001,R063,70,DIFFERENT
R001,R064,57,DIFFERENT
R001,R065,57,DIFFERENT
R001,R066,57,DIFFERENT
R001,R067,57,DIFFERENT
R001,R068,57,DIFFERENT
R001,R069,57,DIFFERENT
R001,R070,57,DIFFERENT
R001,R071,49,DIFFERENT
R001,R072,49,DIFFERENT
R001,R073,49,DIFFERENT
R001,R074,49,DIFFERENT
R001,R075,49,DIFFERENT
R001,R076,50,DIFFERENT
R001,R077,49,DIFFERENT
R001,R078,48,DIFFERENT
R001,R079,49,DIFFERENT
R001,R080,48,DIFFERENT
R001,R081,48,DIFFERENT
R001,R082,49,DIFFERENT
R001,R083,49,DIFFERENT
R001,R084,48,DIFFERENT
R001,R085,33,DIFFERENT
R001,R086,33,DIFFERENT
R001,R087,33,DIFFERENT
R001,R088,33,DIFFERENT
R001,R089,33,DIFFERENT
R001,R090,33,DIFFERENT
R001,R091,33,DIFFERENT
R001,R092,50,DIFFERENT
R001,R093,50,DIFFERENT
R001,R094,50,DIFFERENT
R001,R095,51,DIFFERENT
R001,R096,50,DIFFERENT
R001,R097,50,DIFFERENT
R001,R098,51,DIFFERENT
R001,R099,52,DIFFERENT
R001,R100,52,DIFFERENT
R002,R003,100,DUPLICATE
R002,R004,99,DUPLICATE
R002,R005,100,DUPLICATE
R002,R006,100,DUPLICATE
R002,R007,100,DUPLICATE
R002,R008,57,DIFFERENT
R002,R009,57,DIFFERENT
R002,R010,57,DIFFERENT
R002,R011,57,DIFFERENT
R002,R012,57,DIFFERENT
R002,R013,58,DIFFERENT
R002,R014,57,DIFFERENT
R002,R015,66,DIFFERENT
R002,R016,66,DIFFERENT
R002,R017,66,DIFFERENT
R002,R018,66,DIFFERENT
R002,R019,66,DIFFERENT
R002,R020,66,DIFFERENT
R002,R021,66,DIFFERENT
R002,R022,36,DIFFERENT
R002,R023,37,DIFFERENT
R002,R024,36,DIFFERENT
R002,R025,36,DIFFERENT
R002,R026,33,DIFFERENT
R002,R027,36,DIFFERENT
R002,R028,36,DIFFERENT
R002,R029,41,DIFFERENT
R002,R030,40,DIFFERENT
R002,R031,40,DIFFERENT
R002,R032,40,DIFFERENT
R002,R033,40,DIFFERENT
R002,R034,40,DIFFERENT
R002,R035,40,DIFFERENT
R002,R036,23,DIFFERENT
R002,R037,23,DIFFERENT
R002,R038,28,DIFFERENT
R002,R039,23,DIFFERENT
R002,R040,23,DIFFERENT
R002,R041,23,DIFFERENT
R002,R042,23,DIFFERENT
R002,R043,46,DIFFERENT
R002,R044,43,DIFFERENT
R002,R045,46,DIFFERENT
R002,R046,46,DIFFERENT
R002,R047,46,DIFFERENT
R002,R048,46,DIFFERENT
R002,R049,46,DIFFERENT
R002,R050,42,DIFFERENT
R002,R051,42,DIFFERENT
R002,R052,42,DIFFERENT
R002,R053,42,DIFFERENT
R002,R054,42,DIFFERENT
R002,R055,42,DIFFERENT
R002,R056,42,DIFFERENT
R002,R057,70,DIFFERENT
R002,R058,70,DIFFERENT
R002,R059,70,DIFFERENT
R002,R060,70,DIFFERENT
R002,R061,61,DIFFERENT
R002,R062,70,DIFFERENT
R002,R063,70,DIFFERENT
R002,R064,57,DIFFERENT
R002,R065,57,DIFFERENT
R002,R066,57,DIFFERENT
R002,R067,57,DIFFERENT
R002,R068,57,DIFFERENT
R002,R069,57,DIFFERENT
R002,R070,57,DIFFERENT
R002,R071,49,DIFFERENT
R002,R072,49,DIFFERENT
R002,R073,49,DIFFERENT
R002,R074,49,DIFFERENT
R002,R075,49,DIFFERENT
R002,R076,50,DIFFERENT
R002,R077,49,DIFFERENT
R002,R078,48,DIFFERENT
R002,R079,49,DIFFERENT
R002,R080,48,DIFFERENT
R002,R081,48,DIFFERENT
R002,R082,49,DIFFERENT
R002,R083,49,DIFFERENT
R002,R084,48,DIFFERENT
R002,R085,33,DIFFERENT
R002,R086,33,DIFFERENT
R002,R087,33,DIFFERENT
R002,R088,33,DIFFERENT
R002,R089,33,DIFFERENT
R002,R090,33,DIFFERENT
R002,R091,33,DIFFERENT
R002,R092,50,DIFFERENT
R002,R093,50,DIFFERENT
R002,R094,50,DIFFERENT
R002,R095,51,DIFFERENT
R002,R096,50,DIFFERENT
R002,R097,50,DIFFERENT
R002,R098,51,DIFFERENT
R002,R099,52,DIFFERENT
R002,R100,52,DIFFERENT
R003,R004,99,DUPLICATE
R003,R005,100,DUPLICATE
R003,R006,100,DUPLICATE
R003,R007,100,DUPLICATE
R003,R008,57,DIFFERENT
R003,R009,57,DIFFERENT
R003,R010,57,DIFFERENT
R003,R011,57,DIFFERENT
R003,R012,57,DIFFERENT
