cluster_id,requirement_id
0,R001
0,R005
0,R003
0,R007
0,R004
0,R006
0,R002
1,R014
1,R010
1,R009
1,R012
1,R011
1,R008
1,R013
2,R021
2,R017
2,R020
2,R015
2,R019
2,R018
2,R016
3,R027
3,R022
3,R026
3,R024
3,R025
3,R028
3,R023
4,R034
4,R035
4,R031
4,R032
4,R033
4,R030
4,R029
5,R041
5,R036
5,R040
5,R039
5,R037
5,R042
5,R038
6,R047
6,R048
6,R045
6,R049
6,R046
6,R043
6,R044
7,R055
7,R054
7,R056
7,R050
7,R051
7,R053
7,R052
8,R061
8,R063
8,R060
8,R057
8,R058
8,R062
8,R059
9,R068
9,R064
9,R067
9,R070
9,R065
9,R066
9,R069
10,R077
10,R076
10,R071
10,R073
10,R072
10,R075
10,R074
11,R078
11,R082
11,R080
11,R084
11,R079
11,R081
11,R083
12,R090
12,R087
12,R089
12,R086
12,R085
12,R091
12,R088
13,R092
13,R094
13,R093
13,R098
13,R096
13,R097
13,R095
14,R100
14,R099
