id,text,domain
R001,The system user shall authentication require,SECURITY
R002,The system shall require user authentication,SECURITY
R003,The system shall require user authentication,SECURITY
R004,system require shall The authenticatio user,SECURITY
R005,The system shall require user authentication,SECURITY
R006,system require user shall authentication The,SECURITY
R007,authentication user shall The require system,SECURITY
R008,to log Users the system in must access,SECURITY
R009,Users must log in to access the system,SECURITY
R010,system log the in Users to access must,SECURITY
R011,Users must log in to access the system,SECURITY
R012,Users must log in to access the system,SECURITY
R013,Users must log in to acces the system,SECURITY
R014,Users must log in to access the system,SECURITY
R015,Authentication is required before access,SECURITY
R016,Authentication is required before access,SECURITY
R017,Authentication is required before access,SECURITY
R018,Authentication is required before access,SECURITY
R019,Authentication is required before access,SECURITY
R020,Authentication is required before access,SECURITY
R021,Authentication is required before access,SECURITY
R022,shall validated Login credentials be,SECURITY
R023,Login credentials shall be validate,SECURITY
R024,Login shall credentials validated be,SECURITY
R025,Login credentials shall be validated,SECURITY
R026,be validated credentials Login shal,SECURITY
R027,Login credentials shall be validated,SECURITY
R028,be Login validated shall credentials,SECURITY
R029,be login must Secure enforce,SECURITY
R030,be must login enforced Secure,SECURITY
R031,Secure login must be enforced,SECURITY
R032,Secure login must be enforced,SECURITY
R033,Secure login must be enforced,SECURITY
R034,Secure login must be enforced,SECURITY
R035,Secure enforced login be must,SECURITY
R036,Login should be easy,USABILITY
R037,Login should be easy,USABILITY
R038,Login shoul be easy,USABILITY
R039,be Login easy should,USABILITY
R040,Logi should be easy,USABILITY
R041,Login be should easy,USABILITY
R042,easy should be Login,USABILITY
R043,login The must be user process friendly,USABILITY
R044,The login proces must be user friendly,USABILITY
R045,The be user process login must friendly,USABILITY
R046,The login process must be user friendly,USABILITY
R047,must be process login friendly user The,USABILITY
R048,The login process must be user friendly,USABILITY
R049,The login process must be user friendly,USABILITY
R050,Users should log in easily,USABILITY
R051,log easily in should Users,USABILITY
R052,should easily log in Users,USABILITY
R053,Users should log in easily,USABILITY
R054,Users should log in easily,USABILITY
R055,Users easily should in log,USABILITY
R056,in log easily should Users,USABILITY
R057,should Authentication be simple flow,USABILITY
R058,should be Authentication simple flow,USABILITY
R059,Authentication flow should be simple,USABILITY
R060,Authentication simple should be flow,USABILITY
R061,Authentication flow shoul be simple,USABILITY
R062,Authentication flow should be simple,USABILITY
R063,Authentication flow should be simple,USABILITY
R064,The system must provide an intuitive login,USABILITY
R065,The must provide an intuitive login system,USABILITY
R066,must intuitive provide The login system an,USABILITY
R067,an intuitive login provide system must The,USABILITY
R068,The system must provide an intuitive login,USABILITY
R069,The system must provide an intuitive login,USABILITY
R070,login provide an system must intuitive The,USABILITY
R071,The system shall allow password reset,FUNCTIONAL
R072,The system shall allow password reset,FUNCTIONAL
R073,The allow reset password shall system,FUNCTIONAL
R074,The system shall allow password reset,FUNCTIONAL
R075,The system shall allow password reset,FUNCTIONAL
R076,allo shall reset The system password,FUNCTIONAL
R077,allow shall reset system The password,FUNCTIONAL
R078,Users can recover their password,FUNCTIONAL
R079,Users can recover thei password,FUNCTIONAL
R080,Users can recover their password,FUNCTIONAL
R081,Users can recover their password,FUNCTIONAL
R082,User can recover their password,FUNCTIONAL
R083,recover their User password can,FUNCTIONAL
R084,Users password can recover their,FUNCTIONAL
R085,Password recovery must be available,FUNCTIONAL
R086,Password recovery must be available,FUNCTIONAL
R087,Password recovery must be available,FUNCTIONAL
R088,Password recovery available be must,FUNCTIONAL
R089,Passwor recovery must be available,FUNCTIONAL
R090,Password be must available recovery,FUNCTIONAL
R091,Password recovery must be available,FUNCTIONAL
R092,The application shall support password reset,FUNCTIONAL
R093,The application shall support password reset,FUNCTIONAL
R094,The application shall support password reset,FUNCTIONAL
R095,application password The shall reset suppor,FUNCTIONAL
R096,The application shall support password reset,FUNCTIONAL
R097,The application shall support password reset,FUNCTIONAL
R098,The application shall support password rese,FUNCTIONAL
R099,User should be able to reset credentials,FUNCTIONAL
R100,Users should be able to reset credentials,FUNCTIONAL
